centre,n_timesteps,n_valid_1h_deltas,mean_utilisation,std_utilisation,peak_utilisation,peak_to_average_ratio,coefficient_of_variation,mean_abs_delta_1h,jump_threshold_p90_abs_delta_1h,jump_count_1h,jump_share_1h,sufficient_coverage,variability_bucket
Data Centre #61,17520,17518,0.4390209589041096,0.035593203010572644,0.5068,1.1543868002682183,0.08107404051829532,0.009828511626136925,0.02360000000000001,1742,0.09944057540815161,True,medium
Data Centre #45,17519,17516,0.15100336681036833,0.012034423459982272,0.204,1.3509632553834736,0.07969639163804362,0.0022530183852975355,0.004999999999999977,1686,0.09625485270609728,True,medium
Data Centre #60,10133,9283,0.11643564895917406,0.009274145566423989,0.150625,1.2936330182933389,0.07965039615724383,0.002886881804058962,0.0062500000000000056,962,0.10363029193148766,True,medium
Data Centre #36,17520,17518,0.20250072946234166,0.015205131713202823,0.2716026509443529,1.3412428274479962,0.07508679970474115,0.003911192781911982,0.011970920668282559,1678,0.09578719031852952,True,medium
Data Centre #22,17506,17501,0.1813528781600896,0.013219704315441201,0.2975972666625149,1.6409845252073163,0.07289492424692308,0.003041902101996905,0.006374783961205272,1747,0.09982286726472774,True,medium
Data Centre #39,17520,17518,0.2756572099231912,0.017771966792577965,0.3895037463270125,1.4130003943504448,0.06447125688288699,0.004732708408488693,0.010878787993833322,1752,0.10001141682840507,True,medium
Data Centre #35,17520,17518,0.5255011365790231,0.032126451382735496,0.6051999220092482,1.1516624415868228,0.06113488467765555,0.004737931508091658,0.010988377614815482,1752,0.10001141682840507,True,medium
Data Centre #13,17520,17518,0.3170642689925998,0.018149606654257106,0.3827292641019236,1.2071031066286955,0.0572426742121507,0.0029090338323014804,0.006142485534797071,1752,0.10001141682840507,True,medium
Data Centre #5,17520,17518,0.21242275581971365,0.011786856686311875,0.2500060778816743,1.1769270053809968,0.05548773077925585,0.0014085868108561328,0.002888342030457597,1752,0.10001141682840507,True,medium
Data Centre #16,17520,17518,0.20049947568569051,0.010108233190005426,0.2395260972211587,1.194647000457236,0.050415259967319916,0.0019883191580745848,0.004025000000000001,1751,0.09995433268637972,True,medium
Data Centre #62,17520,17518,0.24947023233322657,0.012368699037568274,0.2894315040826681,1.1601845293352027,0.04957985937595531,0.0015835299484650343,0.003349948826783775,1749,0.09984016440232903,True,medium
Data Centre #11,17520,17518,0.3477070524216683,0.01712553656125983,0.4150353440065711,1.193635104942459,0.04925277310881661,0.0028238738965762422,0.0056377053678149935,1751,0.09995433268637972,True,medium
Data Centre #52,17472,17468,0.3647092743979954,0.0174291063209639,0.4532404316572926,1.2427444638073175,0.047789040598797836,0.0026049752877206527,0.005279293986534115,1747,0.10001144950767117,True,low
